CollectionObject.nodeId,CollectionObject.uri,CollectionObject.objectNumber,Exhibition.enValue,Exhibition.nodeId
2bd1ddd5a81e5f5f667f22a557f23604,https://id.rijksmuseum.nl/20016117,BK-NM-12905-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
84ba4b12b01aec18413253274d9e7dac,https://id.rijksmuseum.nl/200404847,BK-BR-J-413-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
dd0454f28a93eab95d303133e7238c39,https://id.rijksmuseum.nl/20018006,BK-VBR-314,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f6ac9c09fb0ef639b65aed7c94b16d0f,https://id.rijksmuseum.nl/20053330,BK-1993-35,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f379da2929bc35672d19895a7e2472ba,https://id.rijksmuseum.nl/20059752,BK-1995-20-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
3ba26f5d690d2c30cf81775de1aaa250,https://id.rijksmuseum.nl/20030833,BK-1960-57,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
ad54bdd5126bd384f8cf542b754d6246,https://id.rijksmuseum.nl/20058191,BK-NM-7120,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5ba42c231479690003309745e6b12459,https://id.rijksmuseum.nl/20030868,BK-NM-5519,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
6cd4bffb4d4387a2d3a633f37ca21dd1,https://id.rijksmuseum.nl/200112148,BK-NM-8456,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
9564204c8324b6f96692c403bcccccac,https://id.rijksmuseum.nl/20054918,NG-409,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
47318c557ffc3158308b202f4a686d4e,https://id.rijksmuseum.nl/20075846,BK-1978-364-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
d1fccee68b735197c433ba018624d198,https://id.rijksmuseum.nl/20030849,BK-16695-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
6df3e7a1d9022657a4c084116f18c44e,https://id.rijksmuseum.nl/20016028,BK-15611-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
ee1cb02a13d0b18cb8f84bed7fa05c9b,https://id.rijksmuseum.nl/20047033,BK-1993-93,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
cbad4d1bd1240ab9ace8beeaab189fad,https://id.rijksmuseum.nl/20029450,BK-1973-748-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
1d994b506892348a598e6315939476fc,https://id.rijksmuseum.nl/20029451,BK-1973-748-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
61e4570949f54fe2f9d62fab64699f0b,https://id.rijksmuseum.nl/20029458,BK-1973-746,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
4d2177372877b554ec1d4e197ce1836f,https://id.rijksmuseum.nl/20029463,BK-1973-744,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
6ef1c113f859a0472026a854c8cde81d,https://id.rijksmuseum.nl/20029461,BK-1973-745,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
a37790cc07090933a4c37ffa6022ea5e,https://id.rijksmuseum.nl/20030791,BK-1969-55-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
edff6b4c3cc611b9cdc5a983a0101cdc,https://id.rijksmuseum.nl/20030834,BK-1960-56-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
c5e545aad11e5133f9acdb82038469fa,https://id.rijksmuseum.nl/200112182,BK-BR-J-425-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5320e1aefde3ae3c9abc8a6a3aa2e7ea,https://id.rijksmuseum.nl/20032828,BK-1985-71,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f40166deecb9c06da28e48a72e752f4e,https://id.rijksmuseum.nl/20033843,BK-1978-332-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5c55ba8311cab1d206422da5138b4fa4,https://id.rijksmuseum.nl/20016023,BK-1986-70,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
ba5c48251ab8a30884996d46d3edb137,https://id.rijksmuseum.nl/20037063,BK-1968-99-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
131ec1d75fd5de368db410b7883aced7,https://id.rijksmuseum.nl/20063876,BK-1968-99-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
3c6f9c59380d9b489965338f8a1bc4fd,https://id.rijksmuseum.nl/20037150,BK-1984-108-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
bc3f7fb70b930d5d1c2c165707296bc6,https://id.rijksmuseum.nl/20074233,BK-1984-108-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
a9973d0021d121cdf51ec046e16a2d39,https://id.rijksmuseum.nl/20030870,BK-NM-3152,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
c6849a3588c8f019aed854f61f437430,https://id.rijksmuseum.nl/20030869,BK-NM-3151,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
